HCH_012_046_000001	雲南《禹貢》梁州徼外。
HCH_012_046_000481	西北距府三十里。
HCH_012_046_000482	領縣一：雲南州東。
HCH_012_046_000483	元雲南州。
HCH_012_046_000484	洪武十五年三月改爲縣，屬府。
HCH_012_046_000485	十七年改屬州。
HCH_012_046_000486	西北有寶泉水，有一泡江。
HCH_012_046_000487	東北有周官些海子。
HCH_012_046_000488	西有品甸，洪武十九年四月置洱海衛於此。
HCH_012_046_000489	又東北有你場、又有楚甸、南有安南坡三巡檢司。
HCH_012_046_000490	鄧川州北有鐘山，又有普陀江，一名蒲萄江，又名彌苴佉江，南入西洱河。
HCH_012_046_000491	又東有豪豬洞，一名銀坑。
HCH_012_046_000492	又有青索鼻土巡檢司。
HCH_012_046_000493	南距府七十里。
HCH_012_046_000494	領縣一：浪穹州東。
HCH_012_046_000495	東北有佛光山，山半有洞，可容萬人，山後險仄，名一女關。
HCH_012_046_000496	又有蓮花山，有蒙次和山，皆險峻。
HCH_012_046_000497	西南有鳳羽山。
HCH_012_046_000498	北有罷谷山，洱水所出。
HCH_012_046_000499	西有樣備江。
HCH_012_046_000500	西北有寧湖，亦曰明河，即普陀江上源。
HCH_012_046_000501	又有五鹽井提舉司，洪武十六年置，萬曆四十二年廢。
HCH_012_046_000502	西南有鳳羽縣，洪武十五年三月置，屬鄧川州，尋省。
HCH_012_046_000503	有鳳羽鄉巡檢司。
HCH_012_046_000504	又東南有晉陀崆巡檢司，後廢。
HCH_012_046_000505	西有上江嘴、西南有下江嘴二土巡檢司。
HCH_012_046_000506	賓川州弘治六年四月析趙州及太和、雲南二縣地置。
HCH_012_046_000507	西有雞足山，一名九曲巖。
HCH_012_046_000508	東北有金沙江，東入姚安府界。
HCH_012_046_000509	西有金龍湫，流入西洱河。
HCH_012_046_000510	又東有大羅衛，在鍾英山下，弘治六年四月與州同置。
HCH_012_046_000511	又東北有赤石崖、西南有賓居二巡檢司。
HCH_012_046_000512	西有神摩洞。
HCH_012_046_000513	又南有蔓神寨、北有白羊市二巡檢司，後廢。
HCH_012_046_000514	又北有金沙江土巡檢司。
HCH_012_046_000515	西距府百里。
HCH_012_046_000516	雲龍州元雲龍甸軍民府，至元末置。
HCH_012_046_000517	洪武十七年改爲州，來屬。
HCH_012_046_000518	正統間屬蒙化府，後仍來屬。
HCH_012_046_000519	西有三峯山。
HCH_012_046_000520	東有瀾滄江。
HCH_012_046_000521	又西北有諾鄧等鹽井，東南有大井等鹽井，舊俱轄於五井提舉司，後改屬州。
HCH_012_046_000522	東有云龍甸巡檢司，後廢。
HCH_012_046_000523	東北有順蕩井、又有上五井、東有師井、北有箭捍場四巡檢司，又東有十二關土巡檢司，舊俱屬浪穹縣，後改屬。
HCH_012_046_000524	東南距府六十里。
HCH_012_046_000525	十二關長官司府東。
HCH_012_046_000526	元十二關防送千戶所。
HCH_012_046_000527	洪武中改置。
HCH_012_046_000528	嘉靖元年五月徙於一泡江之西。
HCH_012_046_000529	鶴慶軍民府元鶴慶路。
HCH_012_046_000530	洪武十五年三月爲府。
HCH_012_046_000531	三十年十一月升軍民府。
HCH_012_046_000532	南有方丈山，又有半子山，產礦。
HCH_012_046_000533	東有金沙江。
HCH_012_046_000534	東南有漾共江，即鶴川，其下流入金沙江。
HCH_012_046_000535	有木按州，又有副州，元俱屬府，洪武十五年俱廢。
HCH_012_046_000536	東北有宣化關、西南有觀音山、又有清水江三巡檢司。
HCH_012_046_000537	領州二。
HCH_012_046_000538	東南距布政司千一百六十里。
HCH_012_046_000539	劍川州元劍川縣。
HCH_012_046_000540	洪武十五年三月因之。
HCH_012_046_000541	十七年正月升爲州。
HCH_012_046_000542	西南有石寶山。
HCH_012_046_000543	南有劍川湖，俗呼海子，樣備江之下流。
HCH_012_046_000544	又西南有彌沙井鹽課司。
HCH_012_046_000545	又有彌沙井巡檢司。
HCH_012_046_000546	東距府九十里。
HCH_012_046_000547	順州元屬麗江路。
HCH_012_046_000548	洪武十五年三月屬北勝府，尋來屬。
HCH_012_046_000549	西有金沙江。
HCH_012_046_000550	東有浴海浦，與北勝州分界。
HCH_012_046_000551	西距府百二十里。
HCH_012_046_000552	麗江軍民府元麗江路宣撫司。
HCH_012_046_000553	洪武十五年三月爲府。
HCH_012_046_000554	三十年十一月升軍民府。
HCH_012_046_000555	領州四。
HCH_012_046_000556	東南距布政司千二百四十里。
HCH_012_046_000557	通安州倚。
HCH_012_046_000558	西北有玉龍山，一名雪嶺。
HCH_012_046_000559	又有金沙江，古名麗水，源出吐蕃界犁牛石下，名犁水，「犁。」
HCH_012_046_000560	訛「麗」，流經巨津、寶山二州，至武定府，北流入四川大江。
HCH_012_046_000561	西有石門關巡檢司。
HCH_012_046_000562	寶山州西南有阿那山。
HCH_012_046_000563	南有金沙江。
HCH_012_046_000564	西距府二百四十里。
HCH_012_046_000565	蘭州元屬麗江路。
HCH_012_046_000566	洪武十五年三月屬麗江府，尋屬鶴慶府，後仍來屬。
HCH_012_046_000567	北有福源山。
HCH_012_046_000568	西北有瀾滄江，源出吐蕃嵯和歌甸，流入境，南入雲龍州界。
HCH_012_046_000569	東北距府三百六十里。
HCH_012_046_000570	巨津州南有華馬山。
HCH_012_046_000571	北有金沙江，流入州界，有鐵橋跨其上。
HCH_012_046_000572	西北有臨西縣，元屬州，洪武十五年三月因之，弘治後廢。
HCH_012_046_000573	又東北有雪山關。
HCH_012_046_000574	東南距府三百里。
HCH_012_046_000575	永寧府元永寧州，屬麗江路。
HCH_012_046_000576	洪武十五年三月屬北勝府。
HCH_012_046_000577	十七年屬鶴慶府。
HCH_012_046_000578	二十九年改屬瀾滄衛。
HCH_012_046_000579	永樂四年四月升爲府。
HCH_012_046_000580	金沙江在西。
HCH_012_046_000581	又東有瀘沽湖，週三百里，中有三島。
HCH_012_046_000582	又東南有魯窟海子，在幹木山下，下流入四川鹽井衛之打衝河。
HCH_012_046_000583	又北有勒汲河，自吐蕃流入，亦東流入打衝河。
HCH_012_046_000584	又南有羅易江，自蒗蕖州流入，注於瀘沽湖。
HCH_012_046_000585	領長官司四。
HCH_012_046_000586	東南距布政司千四百五十里。
HCH_012_046_000587	剌次和長官司府東北、革甸長官司府西北、香羅甸長官司府西、瓦魯之長官司府北。
HCH_012_046_000588	四司，俱永樂四年四月置。
HCH_012_046_000589	北勝州元北勝府，屬麗江路。
HCH_012_046_000590	洪武十五年三月屬布政司，尋降爲州，屬鶴慶府。
HCH_012_046_000591	二十九年改屬瀾滄衛。
HCH_012_046_000592	正統七年九月直隸布政司。
HCH_012_046_000593	弘治九年徙治瀾滄衛城。
HCH_012_046_000594	瀾滄衛舊在州南，本瀾滄衛軍民指揮使司，洪武二十八年九月置，屬都司。
HCH_012_046_000595	弘治九年徙州來同治。
HCH_012_046_000596	尋罷軍民司，止爲衛。
HCH_012_046_000597	西南有瀾滄山。
HCH_012_046_000598	南有九龍山。
HCH_012_046_000599	西有金沙江，環繞州治，亦曰麗江。
HCH_012_046_000600	又南有陳海，又有呈湖，東南有浪峨海，下流俱入金沙江。
HCH_012_046_000601	東有羅易江，下流入永寧府界。
HCH_012_046_000602	北有蒗蕖州，元屬麗江路，洪武十五年三月屬北勝府，尋屬鶴慶軍民府，二十九年改屬瀾滄衛，天啓中廢。
HCH_012_046_000603	東有寧番土巡檢司。
HCH_012_046_000604	南距布政司千二十五里。
HCH_012_046_000605	永昌軍民府元永昌府，屬大理路。
HCH_012_046_000606	洪武十五年三月屬布政司。
HCH_012_046_000607	十八年二月兼置金齒衛，屬都司。
HCH_012_046_000608	二十三年十二月省府，升衛爲金齒軍民指揮使司。
HCH_012_046_000609	嘉靖元年十月罷軍民司，止爲衛，復置永昌軍民府。
HCH_012_046_000610	領州一，縣二，安撫司四，長官司三。
HCH_012_046_000611	東距布政司千二百里。
HCH_012_046_000612	保山倚。
HCH_012_046_000613	本金齒千戶所，洪武中置。
HCH_012_046_000614	永樂元年九月又置永昌府守禦千戶所，俱屬金齒軍民司。
HCH_012_046_000615	嘉靖三年三月改二所爲保山縣，東有哀牢山，本名安樂，夷語哀牢。
HCH_012_046_000616	西有九隆山。
HCH_012_046_000617	又東北有羅岷山，瀾滄江經其麓。
HCH_012_046_000618	又南有潞江，舊名怒江，一名喳裏江，自潞江司流入。
HCH_012_046_000619	又北有清水河，經縣東南峽口山下，伏流東出，入瀾滄江。
HCH_012_046_000620	又有潞江州，宣德八年六月置，直隸布政司，正統二年五月廢。
HCH_012_046_000621	又東北有沙木和、西北有清水關二巡檢司。
HCH_012_046_000622	又北有甸頭、南有水眼二土巡檢司。
HCH_012_046_000623	永平府東北。
HCH_012_046_000624	元屬永昌府。
HCH_012_046_000625	洪武二十三年屬金齒軍民司。
HCH_012_046_000626	嘉靖元年仍屬府。
HCH_012_046_000627	西南有博南山，一名金浪巔山，俗訛爲丁當丁山，上有關。
HCH_012_046_000628	又有花橋山，產鐵礦。
HCH_012_046_000629	又東北有橫嶺山，驛道所經。
HCH_012_046_000630	東有銀龍江，下流入瀾滄江。
HCH_012_046_000631	又東北有勝備江，下流入蒙化府樣備江。
HCH_012_046_000632	又西南有花橋河，源出博南山，流入銀龍江，上有花橋關，亦曰玉龍關。
HCH_012_046_000633	又東北有上甸定夷關巡檢司。
HCH_012_046_000634	東有打牛坪土巡檢司。
HCH_012_046_000635	騰越州元騰衝府，屬大理路。
HCH_012_046_000636	洪武十五年三月屬布政司，尋廢。
HCH_012_046_000637	永樂元年九月置騰衝守禦千戶所，屬金齒軍民司。
HCH_012_046_000638	宣德六年八月直隸都司。
HCH_012_046_000639	正統十年三月升所爲騰衝軍民指揮使司。
HCH_012_046_000640	嘉靖三年十月置騰越州，屬府。
HCH_012_046_000641	十年十二月罷司爲騰衝衛。
HCH_012_046_000642	東有球牟山。
HCH_012_046_000643	東南有羅生山。
HCH_012_046_000644	南有羅佐衝山，上有鎮夷關，有巡檢司。
HCH_012_046_000645	又東北有高黎共山，一名崑崙岡。
HCH_012_046_000646	西北有明光山，有銀礦銅礦。
HCH_012_046_000647	西有大盈江，亦曰大車江，自徼外流入，下流至比蘇蠻界，注於金沙江。
HCH_012_046_000648	又東北有龍川江，源出徼外蛾昌蠻地之七藏甸，下流合於大盈江，有藤橋在其上。
HCH_012_046_000649	有龍川江關巡檢司。
HCH_012_046_000650	又西南有疊水河，即大盈江之支流。
HCH_012_046_000651	又有騰衝土州，宣德五年六月置，屬金齒軍民司，後直隸布政司，正統三年五月仍屬金齒軍民司，尋廢。
HCH_012_046_000652	又西有古勇關。
HCH_012_046_000653	東北距府二百七十五里。
HCH_012_046_000654	潞江安撫司元柔遠路。
HCH_012_046_000655	洪武十五年三月爲府，後廢，屬麓川平緬司。
HCH_012_046_000656	永樂元年正月析置潞江長官司，直隸都司。
HCH_012_046_000657	十六年六月升安撫司。
HCH_012_046_000658	宣德元年六月改隸布政司。
HCH_012_046_000659	正統三年六月屬金齒軍民司。
HCH_012_046_000660	嘉靖元年十月屬府。
HCH_012_046_000661	北有潞江，一名怒江，源出吐蕃雍望甸，南流經此，折而東南入府界。
HCH_012_046_000662	東岸有潞江關，北岸有細甸。
HCH_012_046_000663	又西有鎮姚守禦千戶所，萬曆十三年置，治老姚關鳳山之阿。
HCH_012_046_000664	又西有全勝關。
HCH_012_046_000665	東北距府三百五十里。
HCH_012_046_000666	鎮道安撫司、楊塘安撫司二司地舊屬西番，與麗江府接界。
HCH_012_046_000667	俱永樂四年正月置，屬金齒軍民司。
HCH_012_046_000668	嘉靖元年屬府。
HCH_012_046_000669	瓦甸安撫司本瓦甸長官司。
HCH_012_046_000670	宣德二年置，屬金齒軍民司。
HCH_012_046_000671	九年二月直隸都司。
HCH_012_046_000672	正統三年五月仍屬金齒軍民司。
HCH_012_046_000673	五年十一月升爲安撫司。
HCH_012_046_000674	嘉靖元年屬府。
HCH_012_046_000675	鳳溪長官司府東。
HCH_012_046_000676	洪武二十三年十一月置，屬金齒軍民司。
HCH_012_046_000677	嘉靖元年改屬府。
HCH_012_046_000678	施甸長官司府南。
HCH_012_046_000679	元石甸長官司。
HCH_012_046_000680	洪武十七年五月更名，屬府。
HCH_012_046_000681	二十三年屬金齒軍民司。
HCH_012_046_000682	嘉靖元年仍屬府。
HCH_012_046_000683	西有坪市河，下流入於怒江。
HCH_012_046_000684	東南有猛淋寨，萬曆十三年置鎮安守禦千戶所於此。
HCH_012_046_000685	南有金齒巡檢司，治浦關。
HCH_012_046_000686	又南有石甸巡檢司。
HCH_012_046_000687	茶山長官司永樂五年析孟養地置，屬金齒軍民司。
HCH_012_046_000688	嘉靖元年屬府。
HCH_012_046_000689	東有高黎共山。
HCH_012_046_000690	蒙化府元蒙化州，屬大理路。
HCH_012_046_000691	洪武十五年三月因之。
HCH_012_046_000692	正統十三年六月升爲府。
HCH_012_046_000693	北有龍宇圖山、又有甸頭山，一名天耳山。
HCH_012_046_000694	南有甸尾山。
HCH_012_046_000695	西有陽江，源出甸頭澗，下流至定邊縣，入定邊河。
HCH_012_046_000696	又西有樣備江，一名神莊江，與永平縣分界，南入順寧府境，爲黑惠江。
HCH_012_046_000697	西南有瀾滄江。
HCH_012_046_000698	有甸頭、甸尾、樣備、瀾滄江四巡檢司。
HCH_012_046_000699	又西南有備溪江土巡檢司。
HCH_012_046_000700	又東有迷渡市，嘉靖初築。
HCH_012_046_000701	東距布政司八百六十里。
HCH_012_046_000702	順寧府元泰定四年十一月置。
HCH_012_046_000703	洪武十五年三月庚戌因之。
HCH_012_046_000704	己未降爲州，屬大理府。
HCH_012_046_000705	十七年正月仍升爲府。
HCH_012_046_000706	西北有樂平山。
HCH_012_046_000707	南有把邊山，中有把邊關。
HCH_012_046_000708	東北有瀾滄江，又有黑惠江，即樣備江也，又名墨會江，南流至府東泮山下，合於瀾滄江。
HCH_012_046_000709	又城東有順寧河，源出甸頭村山箐，流入雲州之孟祐河。
HCH_012_046_000710	南有寶通州，又有慶甸縣，元俱與府同置，洪武十五年省。
HCH_012_046_000711	又西南有矣堵寨，萬曆三十年置右甸守禦士千戶所於此。
HCH_012_046_000712	北有錫鉛寨、又有牛街、又有猛麻、又有錫蠟寨、董甕寨、蟒水寨、亦壁嶺七巡檢司。
HCH_012_046_000713	領州一。
HCH_012_046_000714	東距布政司千五百五十里。
HCH_012_046_000715	雲州本大侯長官司。
HCH_012_046_000716	永樂元年正月析麓川平緬地置，直隸都司。
HCH_012_046_000717	宣德三年五月升爲大侯御夷州，直隸布政司。
HCH_012_046_000718	萬曆二十五年更名，來屬。
HCH_012_046_000719	舊治在南。
HCH_012_046_000720	萬曆三十年移於今治。
HCH_012_046_000721	南有瀾滄江，東有孟祐河流入焉。
HCH_012_046_000722	有臘丁鄉巡檢司，後廢。
HCH_012_046_000723	西距府百五十里。
HCH_012_046_000724	領長官司一：孟緬長官司州西南。
HCH_012_046_000725	宣德五年六月以景東府之孟緬、孟梳地置，屬景東府，後直隸布政司。
HCH_012_046_000726	萬曆二十五年來屬。
HCH_012_046_000727	有大猛麻、又有猛撒二土巡檢司，與猛緬稱爲「三猛」。
HCH_012_046_000728	車裏軍民宣慰使司元車裏路，泰定二年七月置，即大徹裏。
HCH_012_046_000729	洪武十五年閏二月爲軍民府。
HCH_012_046_000730	十九年十一月改軍民宣慰使司。
HCH_012_046_000731	永樂中廢。
HCH_012_046_000732	宣德六年復置。
HCH_012_046_000733	東北有瀾滄江，與九龍江會，達於交址，爲富良江，而入於海。
HCH_012_046_000734	又有沙木江。
HCH_012_046_000735	東有小徹裏部，永樂十九年正月置車裏靖安宣慰使司，宣德九年十月省入車裏。
HCH_012_046_000736	又有元耿凍路，至正七年正月置，又有耿當、孟弄二州，亦元末置，洪武十五年俱省入車裏。
HCH_012_046_000737	西北距布政司三十四程。
HCH_012_046_000738	緬甸軍民宣慰使司本緬中宣慰司。
HCH_012_046_000739	洪武二十七年六月置，尋廢。
HCH_012_046_000740	永樂元年十月復置，更名。
HCH_012_046_000741	北有大金沙江，其上流即大盈江也，源出青石山，自孟養境內流經司北江頭城下，下流注於南海。
HCH_012_046_000742	東有阿瓦河，自孟養流入境，下流入大金沙江。
HCH_012_046_000743	又北有江頭城、太公城、馬來城、安正國城、蒲甘緬王城，謂之「緬中五城」。
HCH_012_046_000744	元后至元四年十二月置邦牙宣慰司於蒲甘緬王城，至正二年六月廢。
HCH_012_046_000745	至元二十六年置太公路於太公城，洪武十五年三月爲府，後廢。
HCH_012_046_000746	領長官司一。
HCH_012_046_000747	東北距布政司三十八程。
HCH_012_046_000748	東倘長官司宣德八年九月置。
HCH_012_046_000749	木邦軍民宣慰使司元木邦路，至順元年三月置。
HCH_012_046_000750	洪武十五年三月爲府，後廢。
HCH_012_046_000751	三十五年十二月復置。
HCH_012_046_000752	永樂二年六月改軍民宣慰司。
HCH_012_046_000753	北有慕義山。
HCH_012_046_000754	西有喳裏江，即潞江，自芒市流入境，又西南入緬甸界。
HCH_012_046_000755	又北有蒙憐路、蒙來路，俱元置，洪武十五年三月俱爲府，後俱廢。
HCH_012_046_000756	又西北有孟炎甸，有天馬關。
HCH_012_046_000757	東北距布政司三十五程。
HCH_012_046_000758	八百大甸軍民宣慰使司元八百等處宣慰使司。
HCH_012_046_000759	洪武二十四年六月改置。
HCH_012_046_000760	東北有南格剌山，下有河，與車裏分界。
HCH_012_046_000761	有八百者乃軍民宣慰使司，永樂二年四月分八百大甸地置，後廢。
HCH_012_046_000762	又有蒙慶宣慰司，元泰定四年閏月置，至正二年四月罷，洪武十五年三月復置府，後廢。
HCH_012_046_000763	又有孟絹路，元元統元年置，屬八百宣慰司，洪武十五年三月爲府，後廢。
HCH_012_046_000764	又有木按、孟傑二路，俱元置，洪武十五年三月俱爲府，後俱廢。
HCH_012_046_000765	北距布政司三十八程。
HCH_012_046_000766	孟養軍民宣慰使司元雲遠路。
HCH_012_046_000767	洪武十五年三月爲府。
HCH_012_046_000768	十七年改爲孟養府，後廢。
HCH_012_046_000769	三十五年十二月復置。
HCH_012_046_000770	永樂二年六月改軍民宣慰使司。
HCH_012_046_000771	正統十三年廢。
HCH_012_046_000772	萬曆十三年改置長官司。
HCH_012_046_000773	東有鬼窟山，又有茫崖山。
HCH_012_046_000774	又有大金沙江，其上流即大盈江，南流入於緬甸。
HCH_012_046_000775	又南有密堵城，有速送城。
HCH_012_046_000776	又南有戛撒寨。
HCH_012_046_000777	西有猛倫，西南有孟拱、戛裏、猛別、盞西諸部。
HCH_012_046_000778	東北距布政司三十七程。
HCH_012_046_000779	老撾軍民宣慰使司永樂二年四月置。
HCH_012_046_000780	東南有三關，與安南界。
HCH_012_046_000781	西北距布政司六十八程。
HCH_012_046_000782	南甸宣撫司元至元二十六年置南甸路。
HCH_012_046_000783	洪武十五年三月爲府，後廢，屬騰衝守禦千戶所。
HCH_012_046_000784	永樂十二年正月置州，直隸布政司。
HCH_012_046_000785	正統三年五月改屬金齒軍民指揮使司。
HCH_012_046_000786	九年六月升宣撫司，仍直隸布政司。
HCH_012_046_000787	東有丙弄山，又有蠻幹山。
HCH_012_046_000788	南有沙木籠山，上有沙木籠關。
HCH_012_046_000789	西有大盈江。
HCH_012_046_000790	東北有小梁河，西南經南牙山下，曰南牙江，入幹崖境內。
HCH_012_046_000791	又東南有孟乃河，即騰越州之龍川江。
HCH_012_046_000792	又南有黃連坡關。
HCH_012_046_000793	東北有小隴川關。
HCH_012_046_000794	東北距布政司二十二程。
HCH_012_046_000795	十崖宣撫司元鎮西路。
HCH_012_046_000796	洪武十五年三月爲府，後廢，屬麓川平緬司。
HCH_012_046_000797	永樂元年正月析置幹崖長官司，直隸都司，後屬金齒軍民指揮使司。
HCH_012_046_000798	宣德五年六月復屬都司。
HCH_012_046_000799	正統三年五月復屬金齒軍民指揮使司。
HCH_012_046_000800	九年六月升宣撫司，直隸布政司。
HCH_012_046_000801	東有云籠山。
HCH_012_046_000802	西有大盈江，又南有檳榔江，自吐蕃界流合焉。
HCH_012_046_000803	東有安樂河，即小梁河，下流經雲籠山下，曰云籠江，經司治北，折而西，合於檳榔江。
HCH_012_046_000804	又西北有南賧，元置，洪武中廢。
HCH_012_046_000805	又西有雷弄、盞達等部。
HCH_012_046_000806	東北距布政司二十三程。
HCH_012_046_000807	隴川宣撫司本麓川平緬軍民宣慰使司。
HCH_012_046_000808	正統六年廢，九年九月改置，治隴把。
HCH_012_046_000809	元平緬路，在隴把東北。
HCH_012_046_000810	洪武十五年閏三月置平緬宣慰使司。
HCH_012_046_000811	三月又改路爲府，未幾府廢。
HCH_012_046_000812	十七年八月丙子升司爲平緬軍民宣慰使司。
HCH_012_046_000813	甲午改麓川平緬軍民宣慰使司，省麓川路入焉。
HCH_012_046_000814	元麓川路在隴把南，洪武十五年三月爲府，未幾府廢。
HCH_012_046_000815	十七年八月爲麓川平緬軍民宣慰司治所，正統中，司廢，曰平麓城，亦曰孟卯城，萬曆十二年置宣撫同知於此。
HCH_012_046_000816	又西南有通西軍民總管府，元至元二十六年置，洪武十五年三月爲府，後廢。
HCH_012_046_000817	又東南有遮放城，萬曆十二年置宣撫副使於此。
HCH_012_046_000818	北有馬鞍山。
HCH_012_046_000819	西北有大金沙江。
HCH_012_046_000820	又有麓川江，即龍川江，自南甸流入，與芒市分界，西南入於大金沙江。
HCH_012_046_000821	東北距布政司六十六程。
HCH_012_046_000822	孟定御夷府元孟定路，至元三十一年四月置。
HCH_012_046_000823	洪武十五年三月爲府。
HCH_012_046_000824	東北有無量山，又有喳哩江，與麓川江合。
HCH_012_046_000825	東南有謀粘路，元泰定三年七月置。
HCH_012_046_000826	有木連路，元至正二十六年置。
HCH_012_046_000827	洪武十五年三月俱因之，後俱廢。
HCH_012_046_000828	領安撫司一。
HCH_012_046_000829	東北距布政司十八程。
HCH_012_046_000830	耿馬安撫司萬曆十三年析孟定地置。
HCH_012_046_000831	西有三尖山。
HCH_012_046_000832	南有喳哩江，與孟定分界。
HCH_012_046_000833	北距府百里。
HCH_012_046_000834	孟艮御夷府永樂三年七月置，直隸都司，後直隸布政司。
HCH_012_046_000835	東有木朵路，又有孟隆路，俱元泰定三年九月置。
HCH_012_046_000836	東北有孟愛等甸軍民府，元至元二十六年置。
HCH_012_046_000837	洪武十五年三月俱爲府，後俱廢。
HCH_012_046_000838	北距布政司三十八程。
HCH_012_046_000839	威遠御夷州元威遠州，屬威楚路，後改威遠蠻柵府。
HCH_012_046_000840	洪武十五年三月仍爲威遠州，屬楚雄府。
HCH_012_046_000841	十七年升爲府，後廢。
HCH_012_046_000842	三十五年十二月復置州，直隸布政司。
HCH_012_046_000843	北有蒙樂山，接景東府界。
HCH_012_046_000844	西北有威遠江，一名谷寶江，下流合瀾滄江。
HCH_012_046_000845	東北距布政司十九程。
HCH_012_046_000846	灣甸御夷州本灣甸長官司。
HCH_012_046_000847	永樂元年正月析麓川平緬地置，直隸都司。
HCH_012_046_000848	三年四月升爲州，直隸布政司。
HCH_012_046_000849	西北有高黎共山。
HCH_012_046_000850	北有姚關，與順寧府界。
HCH_012_046_000851	東北距布政司二十程。
HCH_012_046_000852	鎮康御夷州元鎮康路。
HCH_012_046_000853	洪武十五年三月爲府。
HCH_012_046_000854	十七年降爲州，後廢，以其地屬灣甸州。
HCH_012_046_000855	永樂七年七月復置，直隸布政司。
HCH_012_046_000856	西有喳哩江，接潞江安撫司界。
HCH_012_046_000857	南有昔剌寨。
HCH_012_046_000858	西南有控尾寨。
HCH_012_046_000859	東北距布政司二十三程。
HCH_012_046_000860	孟密宣撫司本孟密安撫司。
HCH_012_046_000861	成化二十年六月析木邦地置。
HCH_012_046_000862	萬曆十三年升爲宣撫司。
HCH_012_046_000863	東北有南牙山，與南甸分界。
HCH_012_046_000864	西南有摩勒江，有大金沙江，俱與緬甸分界。
HCH_012_046_000865	又有寶井。
HCH_012_046_000866	北有猛乃、猛哈，東北有孟廣等部。
HCH_012_046_000867	東北距布政司三十三程。
HCH_012_046_000868	蠻莫安撫司萬曆十三年析孟密地置。
HCH_012_046_000869	東北有等練山。
HCH_012_046_000870	西南有那莫江，下流入大金沙江。
HCH_012_046_000871	又西有孟木寨。
HCH_012_046_000872	東北距布政司三十一程。
HCH_012_046_000873	者樂甸長官司永樂元年正月析麓川平緬地置，直隸都司，後改隸布政司。
HCH_012_046_000874	南有瀾滄江。
HCH_012_046_000875	又東有景來河，自景東府流入，下流入馬龍江。
HCH_012_046_000876	東北距布政司千一百七十里。
HCH_012_046_000877	鈕兀御夷長官司宣德八年十月以和泥之鈕兀、五隆二寨置，北距布政司十六程。
HCH_012_046_000878	芒市御夷長官司元芒施路。
HCH_012_046_000879	洪武十五年三月爲府，後廢。
HCH_012_046_000880	正統八年四月改置，屬金齒軍民指揮司，後直隸布政司。
HCH_012_046_000881	西南有永昌幹山，又有孟契山。
HCH_012_046_000882	又有大盈江，西南經青石山下，又西有麓川江來合焉。
HCH_012_046_000883	東北距布政司二十三程孟璉長官司舊爲麓川平緬司地，後爲孟定府。
HCH_012_046_000884	永樂四年四月置，直隸都司。
HCH_012_046_000885	東南有木來府，元置，洪武十五年三月因之，後廢。
HCH_012_046_000886	東北距布政司二十三程。
HCH_012_046_000887	大古剌軍民宣慰使司在孟養西南。
HCH_012_046_000888	亦曰擺古，濱南海，與暹羅鄰、底馬撒軍民宣慰使司在大古剌東南、小古剌長官司、茶山長官司、底板長官司、孟倫長官司、八家塔長官司皆在西南極邊俱永樂四年六月置。
HCH_012_046_000889	刺和莊長官司永樂四年十月置，直隸都司。
HCH_012_046_000890	散金長官司舊俱爲麓川平緬司地。
HCH_012_046_000891	永樂六年四月置。
HCH_012_046_000892	裏麻長官司永樂六年七月析孟養地置，直隸都司。
HCH_012_046_000893	八寨長官司永樂十二年九月置，直隸都司。
HCH_012_046_000894	底兀刺宣慰使司永樂二十二年三月置。
HCH_012_046_000895	地舊爲大古剌所據，上諭還之，故置司。
HCH_012_046_000896	廣邑州本金齒軍民司之廣邑寨。
HCH_012_046_000897	宣德五年五月升爲州。
HCH_012_046_000898	八年十一月直隸布政司。
HCH_012_046_000899	正統元年三月徙於順寧府之右甸。
HCH_012_046_000900	貴州《禹貢》荊、樑二州徼外。
HCH_012_046_000901	元爲湖廣、四川、雲南三行中書省地。
HCH_012_046_000902	洪武十五年正月置貴州都指揮使司，治貴州宣慰司。
HCH_012_046_000903	其民職有司則仍屬湖廣、四川、雲南三布政司。
HCH_012_046_000904	永樂十一年置貴州等處承宣布政使司。
HCH_012_046_000905	與都指揮司同治。
HCH_012_046_000906	領府八，州一，縣一，宣慰司一，長官司三十九。
HCH_012_046_000907	後領府十，州九，縣十四，宣慰司一，長官司七十六。
HCH_012_046_000908	北至銅仁，與湖廣、四川界。
HCH_012_046_000909	南至鎮寧，與廣西、雲南界。
HCH_012_046_000910	東至黎平，與湖廣、廣西界。
HCH_012_046_000911	西至普安，與雲南、四川界。
HCH_012_046_000912	距南京四千二百五十里，京師七千六百七十里。
HCH_012_046_000913	弘治四年，編戶四萬三千三百六十七，口二十五萬八千六百九十三。
HCH_012_046_000914	萬曆六年，戶四萬三千四百五，口二十九萬九百七十二。
HCH_012_046_000915	貴陽軍民府本程番府。
HCH_012_046_000916	成化十二年七月分貴州宣慰司地置，治程番長官司。
HCH_012_046_000917	隆慶二年六月移入布政司城，與宣慰司同治。
HCH_012_046_000918	三年三月改府名貴陽。
HCH_012_046_000919	萬曆二十九年四月升爲軍民府。
HCH_012_046_000920	領州三，縣二，長官司十六：新貴倚。
HCH_012_046_000921	本貴竹長官司，洪武五年正月置，屬宣慰司。
HCH_012_046_000922	萬曆十四年二月改置縣，來屬。
HCH_012_046_000923	西有獅子山。
HCH_012_046_000924	西北有木閣箐山，在水西境內。
HCH_012_046_000925	北有貴人峯。
HCH_012_046_000926	又西有白龍洞。
